==========
Args:Namespace(arch='resnet50', dataset='market1501_duke', eval_step=-1, evaluate=False, gamma=0.1, gpu_devices='1', height=256, htri_only=False, labelsmooth=False, lr=0.0002, margin=0.3, max_epoch=400, num_instances=4, optim='adam', print_freq=10, resume='', root='data', save_dir='log', seed=1, split_id=0, start_epoch=0, start_eval=0, stepsize=150, train_batch=32, use_cpu=False, weight_decay=0.0005, width=128, workers=4)
==========
Currently using GPU 1
Initializing dataset market1501_duke
=> market1501_duke loaded
Dataset statistics:
  ------------------------------
  subset   | # ids | # images
  ------------------------------
  train    |  1453 |    29458
  ------------------------------
Initializing model: resnet50
Model size: 26.75160M
==> Start training
Epoch: [4][170/181]	Time 0.510 (0.513)	Data 0.021 (0.023)	Loss 7.5319 (7.7824)	CLoss 7.2854 (7.3230)	GLoss 0.1176 (0.2091)	LLoss 0.1290 (0.2503)	
Epoch: [4][180/181]	Time 0.509 (0.513)	Data 0.021 (0.023)	Loss 8.0266 (7.7875)	CLoss 7.4371 (7.3265)	GLoss 0.2475 (0.2097)	LLoss 0.3419 (0.2513)	
Epoch: [5][10/181]	Time 0.522 (0.554)	Data 0.020 (0.061)	Loss 7.5643 (7.7078)	CLoss 7.2608 (7.2626)	GLoss 0.1859 (0.2090)	LLoss 0.1176 (0.2361)	
Epoch: [5][20/181]	Time 0.510 (0.532)	Data 0.021 (0.041)	Loss 7.7650 (7.6816)	CLoss 7.2668 (7.2498)	GLoss 0.2669 (0.1940)	LLoss 0.2312 (0.2378)	
Epoch: [5][30/181]	Time 0.510 (0.525)	Data 0.021 (0.034)	Loss 7.7025 (7.6727)	CLoss 7.3385 (7.2504)	GLoss 0.1735 (0.1930)	LLoss 0.1906 (0.2294)	
Epoch: [5][40/181]	Time 0.510 (0.521)	Data 0.021 (0.031)	Loss 7.6848 (7.6804)	CLoss 7.2059 (7.2577)	GLoss 0.2265 (0.1911)	LLoss 0.2525 (0.2316)	
Epoch: [5][50/181]	Time 0.511 (0.519)	Data 0.021 (0.029)	Loss 7.7271 (7.6837)	CLoss 7.1916 (7.2649)	GLoss 0.1792 (0.1896)	LLoss 0.3562 (0.2292)	
Epoch: [5][60/181]	Time 0.514 (0.518)	Data 0.021 (0.028)	Loss 7.2418 (7.6854)	CLoss 7.1368 (7.2641)	GLoss 0.0579 (0.1903)	LLoss 0.0470 (0.2311)	
Epoch: [5][70/181]	Time 0.511 (0.517)	Data 0.021 (0.027)	Loss 8.0665 (7.6803)	CLoss 7.3371 (7.2693)	GLoss 0.2754 (0.1863)	LLoss 0.4540 (0.2247)	
Epoch: [5][80/181]	Time 0.510 (0.516)	Data 0.021 (0.026)	Loss 7.4259 (7.6881)	CLoss 7.2787 (7.2707)	GLoss 0.0700 (0.1855)	LLoss 0.0773 (0.2319)	
Epoch: [5][90/181]	Time 0.509 (0.515)	Data 0.021 (0.025)	Loss 7.5776 (7.6911)	CLoss 7.3613 (7.2740)	GLoss 0.1194 (0.1852)	LLoss 0.0970 (0.2319)	
Epoch: [5][100/181]	Time 0.509 (0.515)	Data 0.021 (0.025)	Loss 8.2226 (7.7097)	CLoss 7.2770 (7.2778)	GLoss 0.3476 (0.1908)	LLoss 0.5980 (0.2411)	
Epoch: [5][110/181]	Time 0.511 (0.515)	Data 0.021 (0.025)	Loss 7.6404 (7.7101)	CLoss 7.3450 (7.2782)	GLoss 0.1262 (0.1914)	LLoss 0.1691 (0.2405)	
Epoch: [5][120/181]	Time 0.512 (0.514)	Data 0.021 (0.024)	Loss 7.6029 (7.7130)	CLoss 7.2595 (7.2817)	GLoss 0.1772 (0.1915)	LLoss 0.1663 (0.2398)	
Epoch: [5][130/181]	Time 0.510 (0.514)	Data 0.021 (0.024)	Loss 7.6564 (7.7103)	CLoss 7.3474 (7.2848)	GLoss 0.1506 (0.1897)	LLoss 0.1585 (0.2359)	
Epoch: [5][140/181]	Time 0.510 (0.514)	Data 0.021 (0.024)	Loss 7.6473 (7.7119)	CLoss 7.2943 (7.2869)	GLoss 0.1513 (0.1893)	LLoss 0.2016 (0.2357)	
Epoch: [5][150/181]	Time 0.510 (0.514)	Data 0.021 (0.024)	Loss 7.9892 (7.7092)	CLoss 7.2760 (7.2870)	GLoss 0.3231 (0.1881)	LLoss 0.3901 (0.2340)	
Epoch: [5][160/181]	Time 0.510 (0.513)	Data 0.021 (0.024)	Loss 7.7409 (7.7131)	CLoss 7.2761 (7.2910)	GLoss 0.1909 (0.1885)	LLoss 0.2740 (0.2335)	
Epoch: [5][170/181]	Time 0.510 (0.513)	Data 0.021 (0.023)	Loss 7.8734 (7.7187)	CLoss 7.4285 (7.2946)	GLoss 0.2110 (0.1895)	LLoss 0.2338 (0.2346)	
Epoch: [5][180/181]	Time 0.509 (0.513)	Data 0.021 (0.023)	Loss 7.7744 (7.7184)	CLoss 7.3278 (7.2971)	GLoss 0.1327 (0.1880)	LLoss 0.3139 (0.2333)	
Epoch: [6][10/181]	Time 0.510 (0.545)	Data 0.021 (0.054)	Loss 7.4430 (7.5473)	CLoss 7.1867 (7.2117)	GLoss 0.0889 (0.1569)	LLoss 0.1675 (0.1787)	
Epoch: [6][20/181]	Time 0.510 (0.528)	Data 0.021 (0.038)	Loss 7.5450 (7.5581)	CLoss 7.2405 (7.2180)	GLoss 0.1897 (0.1551)	LLoss 0.1148 (0.1851)	
Epoch: [6][30/181]	Time 0.511 (0.522)	Data 0.021 (0.032)	Loss 7.7032 (7.5779)	CLoss 7.2126 (7.2133)	GLoss 0.2311 (0.1689)	LLoss 0.2594 (0.1957)	
Epoch: [6][40/181]	Time 0.510 (0.519)	Data 0.021 (0.029)	Loss 7.5883 (7.5794)	CLoss 7.2461 (7.2050)	GLoss 0.1852 (0.1762)	LLoss 0.1570 (0.1982)	
Epoch: [6][50/181]	Time 0.510 (0.518)	Data 0.021 (0.028)	Loss 7.4731 (7.6028)	CLoss 7.1814 (7.2168)	GLoss 0.1090 (0.1789)	LLoss 0.1828 (0.2071)	
Epoch: [6][60/181]	Time 0.510 (0.517)	Data 0.021 (0.027)	Loss 7.5701 (7.6134)	CLoss 7.2555 (7.2261)	GLoss 0.1521 (0.1826)	LLoss 0.1624 (0.2048)	
Epoch: [6][70/181]	Time 0.510 (0.516)	Data 0.021 (0.026)	Loss 7.5072 (7.6171)	CLoss 7.2098 (7.2315)	GLoss 0.1736 (0.1802)	LLoss 0.1238 (0.2054)	
Epoch: [6][80/181]	Time 0.511 (0.515)	Data 0.021 (0.025)	Loss 7.7306 (7.6185)	CLoss 7.2563 (7.2346)	GLoss 0.2452 (0.1778)	LLoss 0.2292 (0.2060)	
Epoch: [6][90/181]	Time 0.510 (0.515)	Data 0.021 (0.025)	Loss 7.9173 (7.6194)	CLoss 7.3231 (7.2398)	GLoss 0.3298 (0.1765)	LLoss 0.2645 (0.2032)	
Epoch: [6][100/181]	Time 0.514 (0.514)	Data 0.021 (0.024)	Loss 7.6084 (7.6180)	CLoss 7.2703 (7.2445)	GLoss 0.1935 (0.1737)	LLoss 0.1446 (0.1998)	
Epoch: [6][110/181]	Time 0.511 (0.514)	Data 0.021 (0.024)	Loss 7.6819 (7.6260)	CLoss 7.3310 (7.2488)	GLoss 0.1299 (0.1742)	LLoss 0.2210 (0.2030)	
